id,product,price,college,Sub Category,rating,stock,is_out_of_stock,views_count,wishlist_count,add_to_cart_count,buyers_count,discount_pct,final_price,price_range_category,stock_range,seasonality,effective_price,cart_to_view_ratio,wishlist_to_view_ratio,image
0,Glasses,5,laboratory  tools,cleaning supplies,3.9,17,0,201,14,19,8,7.6,3.815,Low,Medium,Winter,4.62,0.094059406,0.069306931,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745968856/freepik__the-style-is-candid-image-photography-with-natural__12398_kpoazp.png
1,Rulers Kit for engineering,1200,engineering,Rulers,3.4,12,0,190,10,15,5,17.2,866.4,High,Medium,Autumn,993.6,0.078534031,0.052356021,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
2,Flamaster Color Marker - 24 Pcs,192,arts;architecture;engineering,Art Supplies,4,21,0,193,9,14,6,14.6,152.448,High,Medium,Autumn,163.968,0.072164948,0.046391753,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
3,Rulers Kit for architecture;engineering - arts,70,architecture;engineering - arts,Rulers,4.6,18,0,185,11,15,3,10.6,59.5,Medium,Medium,Winter,62.58,0.080645161,0.059139785,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
4,Burette,90,laboratory  tools,liquid handling,3.3,17,0,192,5,16,6,0.4,78.57,Medium,Medium,Spring,89.64,0.082901554,0.025906736,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745968856/freepik__the-style-is-candid-image-photography-with-natural__12398_kpoazp.png
5,magnifying  glass,85,plant anatomy,chemical tools,3.3,23,0,205,8,19,6,11.9,70.38,Medium,Medium,Winter,74.885,0.09223301,0.038834951,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969356/Pngtree_soybean_plant_that_can_be_15753700_hesoc5.png
6,K-MAX High Quality Carving Tools Set No.0299 - 19 Pcs,18,arts;architecture;engineering,Sculpture,4.7,23,0,179,8,14,4,3.6,13.176,Low,Medium,Winter,17.352,0.077777778,0.044444444,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
7,cover,25,faculty of bio technology,microscopy supplies,4.1,19,0,207,11,16,6,6.8,23.75,Low,Medium,Spring,23.3,0.076923077,0.052884615,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969552/Pngtree_microscope_with_lab_glassware_science_17031040_cawpip.png
8,KeepSmiling High Quality Flat Inches Artist Brushes No.A0176 - 4 Pcs,66,arts;architecture;engineering,Brushes,3.1,20,0,211,7,26,6,20.6,54.912,Medium,Medium,Autumn,52.404,0.122641509,0.033018868,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
9,Scalpel knife,45,faculty of agriculture,glassware,3.9,22,0,230,10,20,3,17.1,41.715,Medium,Medium,Spring,37.305,0.086580087,0.043290043,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745972357/10306_lm5cr5.jpg
10,Templates Kit for engineering,50,engineering,Templates,3.2,22,0,206,8,21,6,15.8,42.1,Medium,Medium,Summer,42.1,0.101449275,0.038647343,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
11,Art Supplies Kit for arts,75,arts,Art Supplies,3.2,21,0,203,11,17,4,16.9,60.975,Medium,Medium,Winter,62.325,0.083333333,0.053921569,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745969048/wallpaperflare.com_wallpaper_r1l0cl.jpg
12,Templates Kit for engineering,13.65,engineering,Templates,3.7,20,0,226,16,22,5,3.6,11.99835,Low,Medium,Spring,13.1586,0.0969163,0.070484581,https://res.cloudinary.com/dzx8ljs2m/image/upload/v1745864186/enginerring_is6nis.jpg
